date;user;v;a;tweet
03.06.19 08:24;dc_lawrence;5.21;4.82;RT @UKTradeForum: International trade deals negotiated in secret anyone? How to secure democratic oversight of post Brexit trade policy By @dc_lawrence #postBrexittrade #democracyandtradehttps://t.co/RbyESFwyNC
03.06.19 08:24;retariustw;6.46;4.18;"RT @uk_domain_names: This thread is also available as a PDF, if that makes it easier to read and share. You can download ""So we cancel Brexit? Then what?"" from the link below. Please pass this around if you found it interesting. https://t.co/CEOEJHA6IK"
03.06.19 08:24;ScotShug;6.02;3.67;RT @ScotNational: This is an unprecedented moment in the UK’s political history. https://t.co/6vC20Z7fiy
03.06.19 08:24;LynPadley;5.29;4.99;RT @Jonathan_K_Cook: Extraordinary how back-to-front the UK news agenda is. Should it really be claims of anti-semitism in Labour, followed by Brexit, followed by climate breakdown? It's suicidalinsanity and everyone outside the media and political class knows it
03.06.19 08:24;hewitt_riri;5.65;5.48;RT @fascinatorfun: @Brexit Except polls suggest nothing of the sort, do they? https://t.co/r8Kn1BMRdN
03.06.19 08:24;dotdotdot17345;5.55;4.30;RT @timolarch: I'm not prone to conspiracy theories..except when there's been clear evidence from official enquiries or excellent reporting from journalists pointing heavily towards conspiracy. There needs to be an official inquiry of what went on in the brexit referendum..before we jump.
03.06.19 08:24;BEEnnis;4.67;3.98;RT @carolecadwalla: Never forget: your government has refused to tell you what it knows. https://t.co/4aJq5w6Iui
03.06.19 08:24;GMan82721611;5.90;4.18;RT @hazeydaze35: @BrexitHome Tusk was right! BUT foreign forces were from EU! Aided and abetted by europhile MPs despite democratic vote to leave. The “democratic” bit will also be a “foreign” wordto EU. OUR country NOT yours Mr Tusk! So OUR decision DESPITE EU! Brexit WILL happen .... ALL get used to it!🇬🇧
03.06.19 08:24;jemloire;4.38;4.73;RT @campbellclaret: The endless Brexit lies have left us in an Orwellian nightmare https://t.co/UiORxJAT3s
03.06.19 08:24;The_ChrisShaw;4.71;3.52;RT @tradedealwatch: British Airways 'shocked' by lack of Brexit progress and total uncertainty for the years ahead. https://t.co/GLre2WOHrW via @FT
03.06.19 08:24;AnthonyBowson;6.45;3.88;"RT @VinaigretteGirl: @NarcAware @brexit_sham @andwarn Aside from ""it makes sense"" is there a scrap of credible indication anywhere that this is correct? I think it's time for anyone with communications skills or contacts to speak up."
03.06.19 08:24;Irene48;5.82;5.42;RT @BrexitHome: Geoffrey Cox says there is 'still hope' of a Brexit breakthrough: Brexit News for Wednesday March 6 https://t.co/wzhvonSSMT
03.06.19 08:24;lawton_kath;5.56;4.73;RT @DancingTheMind: Is this Arron Banks who is under investigation by the National Crime Agency and whose £8 million donation to the Brexit referendum Leave campaign remains unaccounted for? #Brexit #VoteLeaveBrokeTheLaw https://t.co/9SNjx52r7I
03.06.19 08:24;hunterathelen;6.68;4.27;@LeaveEUOfficial @SuellaBraverman Absolutely! Lord Tebbit said it well ‘Brexit is simple. Goodbye, I hope we remain friends!’
03.06.19 08:24;Bank_Finance;6.20;4.27;UK And U.S. Swaps Regulators Agree To Maintain Existing Arrangements Post-Brexit https://t.co/L8qbRbfKvB By @Cadwalader
03.06.19 08:24;GBirtle;5.39;4.43;Miners' strike: The decades-old feud that still divides communities Thatcher’s legacy. Cameron and now #TheresaMay legacy has been to divide the #uk for #Brexit #ToriesOut #Torytwats https://t.co/kVc0drfnGC
03.06.19 08:24;VesperUK;4.93;5.78;RT @juliehinukeu: Brexit: EU citizens risk suffering same fate as Windrush generation https://t.co/xZ90TYquw7 via @businessinsider #StopBrexit #PeoplesVote #RevokeA50
